start_t,stop_t,server_id,player_a,player_b,key,meta,count
40320,40321, 50989f1b1dbf9d412a000004, d07245ad90f5e02828267851597f19c96c7d9a7c, , Kicks, ,1
40320,40321, 50989f1b1dbf9d412a000004, de8d00d53ca34d4f25b712d9cf282b93f98b6255, , Logins, America/New_York,1
40320,40321, 50989f1b1dbf9d412a000004, f53edcd6c088419205effd8b669603ef791da91e, , CraftedItems, TORCH,1
40320,40321, 50989f1b1dbf9d412a000004, f54be117507b677e4962ad0dd15fb2b0052c6784, , BlockPlace, OTHER,1
40320,40321, 50989f1b1dbf9d412a000004, f54be117507b677e4962ad0dd15fb2b0052c6784, , CraftedItems, WOOD,1
40320,40321, 50989f1b1dbf9d412a000004, f54be117507b677e4962ad0dd15fb2b0052c6784, , CraftedItems, WOOD_DOOR,1
40320,40321, 50989f1b1dbf9d412a000004, fafe300b2ce059c5f427afc7a0b5d287fcb48347, , CraftedItems, BOW,1
40320,40321, 50989f1b1dbf9d412a000004, fafe300b2ce059c5f427afc7a0b5d287fcb48347, , CraftedItems, STICK,1
40320,40321, 50989f1b1dbf9d412a000004, fafe300b2ce059c5f427afc7a0b5d287fcb48347, , Death, ,1
40320,40321, 50989f1b1dbf9d412a000004, fafe300b2ce059c5f427afc7a0b5d287fcb48347, , Logins, America/New_York,1
40320,40321, 50989f1b1dbf9d412a000004, fafe300b2ce059c5f427afc7a0b5d287fcb48347, 616b988b89e406089f2f8b8b35930301b1873325, Chat, ,1
40320,40321, 50989f1b1dbf9d412a000004, fafe300b2ce059c5f427afc7a0b5d287fcb48347, 616b988b89e406089f2f8b8b35930301b1873325, KilledBy, ,1
40320,40321, 509fb8211dbf9d6b7e000004, 004ea60ba33d91b4f51387e1eb03db8305823ada, , Logins, America/Indianapolis,1
40320,40321, 509fb8211dbf9d6b7e000004, 05413ac2793142042e121952672cd3ece3559b10, , Death, ,1
40320,40321, 509fb8211dbf9d6b7e000004, 05413ac2793142042e121952672cd3ece3559b10, , Kicks, ,1
40320,40321, 509fb8211dbf9d6b7e000004, 05413ac2793142042e121952672cd3ece3559b10, a2e352ae8511eb46d94fde915a0b578fe6d55522, KilledBy, ,1
40320,40321, 509fb8211dbf9d6b7e000004, 056d626ee21bd7bf1c496147e9c331ed73bf1a40, , BlockBreak, GRASS,1
40320,40321, 509fb8211dbf9d6b7e000004, 05b30733b9d20de2ee3f2b5e5214541d7a4dc489, , Logins, America/Chicago,1
40320,40321, 509fb8211dbf9d6b7e000004, 0955265ef07101f6fe7e27a021d3f7827c532900, , BlockBreak, DIRT,1
40320,40321, 509fb8211dbf9d6b7e000004, 0955265ef07101f6fe7e27a021d3f7827c532900, , BlockBreak, STONE,1
40320,40321, 509fb8211dbf9d6b7e000004, 0955265ef07101f6fe7e27a021d3f7827c532900, , Logins, America/Chicago,1
40320,40321, 509fb8211dbf9d6b7e000004, 0a8c5a7796c6d3d6c5eed9764265a6b1e3913c76, , BlockBreak, DIAMOND_ORE,1
40320,40321, 509fb8211dbf9d6b7e000004, 0a8c5a7796c6d3d6c5eed9764265a6b1e3913c76, , BlockBreak, GRASS,1
40320,40321, 509fb8211dbf9d6b7e000004, 0a8c5a7796c6d3d6c5eed9764265a6b1e3913c76, , CraftedItems, GOLD_AXE,1
40320,40321, 509fb8211dbf9d6b7e000004, 0a8c5a7796c6d3d6c5eed9764265a6b1e3913c76, , CraftedItems, GOLD_SPADE,1
40320,40321, 509fb8211dbf9d6b7e000004, 0a8c5a7796c6d3d6c5eed9764265a6b1e3913c76, , CraftedItems, WOOD,1
40320,40321, 509fb8211dbf9d6b7e000004, 0ace6e3d9ec81d32f4128b091bbd306ccd5e716c, , Logins, America/New_York,1
40320,40321, 509fb8211dbf9d6b7e000004, 0b003f21b14d4c4db9ade17dc2613cfa45712c19, , BlockBreak, OTHER,1
40320,40321, 509fb8211dbf9d6b7e000004, 0bafaacb9327be56d7585962e1a73f426d171870, , Kicks, ,1
40320,40321, 509fb8211dbf9d6b7e000004, 0bafaacb9327be56d7585962e1a73f426d171870, , Logins, America/Los_Angeles,1
40320,40321, 509fb8211dbf9d6b7e000004, 0bafaacb9327be56d7585962e1a73f426d171870, 307bca413dc8ba413d5c1a8eb01b61fbfc4e1996, KilledBy, ,1
40320,40321, 509fb8211dbf9d6b7e000004, 0bafaacb9327be56d7585962e1a73f426d171870, 5657c73dfee7fc7eb047f689f3061a051ceb262a, KilledBy, ,1
40320,40321, 509fb8211dbf9d6b7e000004, 0bafaacb9327be56d7585962e1a73f426d171870, ca4e27954b757e8be8e05a1f77802516a532a488, KilledBy, ,1
